Crash ID,Degree of crash - detailed,Reporting year,Year of crash,Month of crash,Day of week of crash,Two-hour intervals,Street of crash,Street type,Town,Route no.,School zone location,School zone active,Type of location,Latitude,Longitude,LGA,Urbanisation,Conurbation 1,Alignment,Street lighting,Road surface,Surface condition,Weather,Natural lighting,Signals operation,Other traffic control,Speed limit,Road classification,RUM - code,DCA - code,First impact type,Key TU type,Other TU type,No. of traffic units involved,No. killed,No. seriously injured,No. moderately injured,No. minor-other injured
1246717,3,2020,2020,9,3,5,43,2,104,42,0,1,10,-33.742799,150.943903,7,0,2,1,3,0,0,0,2,2,7,70,2,5929,5929,1,5,0,2,0,0,0,0
1246718,3,2020,2020,9,2,5,5,27,69,34609,0,1,9,-33.771435,150.967912,54,0,2,0,3,0,0,0,2,0,0,50,0,1259,985,8,5,40,1,0,0,0,0
1246719,3,2020,2020,9,0,1,1,27,3,34609,0,1,1,-32.835305,151.567324,17,1,0,1,3,2,3,4,0,0,7,100,0,4026,4026,8,5,40,1,0,0,0,0
1246720,3,2020,2020,9,1,4,74,27,56,59,0,1,9,-34.465455,150.871508,80,0,2,1,3,0,0,0,2,3,7,80,2,1391,1391,1,8,5,2,0,0,0,0
1246721,3,2020,2020,9,3,2,21,27,7,61,0,1,1,-34.262567,146.097,28,2,1,1,3,0,0,0,4,0,7,70,1,9859,9859,8,10,40,2,0,0,0,0
1246735,3,2020,2020,9,4,2,34,31,56,34609,0,1,1,-31.089234,152.838295,34,2,1,1,3,0,0,0,0,0,7,50,0,14295,14295,3,10,12,2,0,0,0,0
1246737,3,2020,2020,10,0,1,7,31,234,34609,0,1,1,-34.282382,146.028301,28,2,1,1,2,0,0,0,0,0,7,50,0,9859,9859,8,5,40,1,0,0,0,0
1246740,3,2020,2020,9,6,7,2261,17,15,2252,0,1,2,-35.114842,148.039154,20,1,0,1,0,0,0,0,2,0,7,110,2,475,475,5,8,40,1,0,0,0,0
1246744,3,2020,2020,10,4,1,23,27,123,38,0,1,1,-33.734715,148.692579,51,1,0,1,3,0,0,0,0,0,7,100,2,4026,4026,8,34,40,1,0,0,0,0
1246747,3,2020,2020,9,0,6,334,17,41,308,0,1,9,-31.09904,150.898989,70,2,1,1,3,0,0,0,2,0,7,60,2,515,515,1,29,12,2,0,0,0,0
1246774,3,2020,2020,9,0,0,112,27,79,769,0,1,10,-33.579888,150.719578,29,2,2,1,2,0,3,4,0,2,7,60,2,9859,9859,8,5,40,1,0,0,0,0
1246782,3,2020,2020,10,3,11,4,31,161,115,0,1,7,-33.731759,151.167024,36,0,2,1,2,0,3,4,0,0,0,60,1,78,78,8,5,40,1,0,0,0,0
1246792,3,2020,2020,10,6,8,11,27,5,34609,0,1,1,-33.408213,151.384089,16,2,2,0,0,2,0,3,2,0,7,50,0,782,957,5,5,40,1,0,0,0,0
1246800,3,2020,2020,9,0,10,10,1,62,34609,0,1,1,-32.925014,151.605192,37,0,2,1,2,0,0,0,0,0,7,50,0,9859,9859,1,0,5,2,0,0,0,0
1246804,3,2020,2020,1,2,1,6,31,149,34609,0,1,9,-33.822832,150.975232,21,0,2,1,2,0,3,4,0,0,7,50,0,9859,9859,1,5,5,2,0,0,0,0
1246814,3,2020,2020,11,2,6,7,27,6,10,0,1,9,-36.741058,149.708409,5,1,0,0,0,0,0,3,2,0,0,100,1,256,256,4,10,36,2,0,0,0,0
1246831,3,2020,2020,10,2,1,24,27,5,103,0,1,1,-28.642833,153.219144,39,2,1,0,0,0,0,0,0,0,7,80,1,4552,5151,8,5,40,1,0,0,0,0
1246846,3,2020,2020,10,3,3,1052,14,207,928,0,1,3,-33.57956,151.191555,31,0,2,0,3,0,3,4,2,0,7,110,2,4552,5151,8,5,40,1,0,0,0,0
1246869,3,2020,2020,1,1,8,3371,17,463,3342,0,1,2,-30.273381,153.134239,19,2,1,0,0,0,3,3,2,0,7,60,2,4552,5151,8,10,40,1,0,0,0,0
1246876,3,2020,2020,1,2,2,72,14,54,71,0,1,3,-33.890087,151.217416,69,0,2,1,2,0,0,0,0,0,7,80,2,9859,9859,8,5,40,1,0,0,0,0
1246899,3,2020,2020,10,6,11,27,36,83,34609,0,1,1,-29.706109,152.942839,18,2,1,1,3,0,0,0,0,0,7,50,0,4026,4026,8,5,40,1,0,0,0,0
1246907,3,2020,2020,1,0,11,478,17,78,480,0,1,7,-33.422679,151.438907,16,2,2,1,2,0,0,0,0,0,0,60,2,4026,4026,8,5,40,1,0,0,0,0
1246924,3,2020,2020,10,3,11,1,1,463,34609,0,1,9,-30.280524,153.111678,19,2,1,1,0,2,0,0,0,0,7,50,0,1282,1282,1,5,40,1,0,0,0,0
1246925,3,2020,2020,9,1,7,1052,27,104,262,0,1,10,-32.909185,151.705157,48,0,2,1,1,0,0,0,2,2,7,60,2,14295,14295,3,16,5,2,0,0,0,0
1246931,3,2020,2020,9,4,10,1,10,63,34609,0,1,7,-33.243601,151.506211,16,2,2,1,3,0,0,0,0,0,0,50,0,2852,2852,4,5,5,2,0,0,0,0
1246932,3,2020,2020,9,0,7,3371,17,139,3342,0,1,2,-33.841063,151.208867,49,0,2,1,3,0,0,0,2,0,7,60,2,14295,14295,3,5,0,2,0,0,0,0
1246934,3,2020,2020,9,0,2,7,22,532,7,0,1,6,-33.873272,151.203168,69,0,2,0,3,0,3,0,0,0,7,70,2,1957,4009,8,10,40,1,0,0,0,0
1246941,3,2020,2020,10,4,3,31,31,73,19,0,1,10,-33.87252,151.217605,69,0,2,1,3,0,0,0,2,2,7,50,2,301,301,4,0,13,2,0,0,0,0
1246942,3,2020,2020,9,6,8,32,27,52,88,0,1,9,-33.670248,150.73144,55,0,2,1,3,0,0,0,2,0,15,80,2,14295,14295,3,5,5,4,0,0,0,0
1246943,3,2020,2020,9,6,9,2261,17,44,2252,0,1,9,-33.893759,150.959764,24,0,2,1,3,0,0,0,2,2,7,70,2,1669,1669,3,0,25,4,0,0,0,0
1246944,3,2020,2020,9,2,9,26,27,111,34609,0,1,10,-33.700472,150.857519,7,0,2,1,3,0,0,0,0,0,15,60,0,6545,6545,4,5,36,2,0,0,0,0
1246947,3,2020,2020,9,4,7,4,27,7,5,0,1,1,-32.725432,151.621231,42,2,1,1,3,0,0,0,2,0,7,50,1,9859,9859,8,30,40,1,0,0,0,0
1246951,3,2020,2020,9,6,8,5,27,38,34609,0,1,1,-30.240096,153.138521,19,2,1,0,3,0,0,0,2,0,7,50,0,3775,3775,0,10,0,2,0,0,0,0
1246952,3,2020,2020,9,4,7,194,31,112,34609,0,1,1,-33.447393,151.443691,16,2,2,1,3,0,0,0,2,0,7,40,0,1282,1282,1,10,40,1,0,0,0,0
1246954,3,2020,2020,9,3,0,101,10,112,34609,0,1,9,-36.058241,146.920078,0,2,1,0,2,0,0,0,0,0,7,50,0,1957,4009,8,5,40,1,0,0,0,0
